description,unit,rate,Unnamed: 3
"['Sprinkler
Size : 15 mm dia 
Finish: Chrome
Operating Temp. : 68 deg.C.']",Nos.,162.5,
"['Sprinkler cap 
Size : 15 mm dia 
Finish: Chrome
Operating Temp. : 68 deg.C.']",Nos.,234.0,
"[' 1000 MM long
Providing and fixing of following length braided stainless steel (grade AISI 304) flexible tubing suitable for fire sprinkler installation having 1"" NPT mail thread inlet and 1/2"" NPT female thread outlet. The unit shall be complete with bracket assembly for securely fixing on false ceiling. The product shall be UL Listed and FM Approved.']",Nos.,1895.0,
"[' 1200 MM long
Providing and fixing of following length braided stainless steel (grade AISI 304) flexible tubing suitable for fire sprinkler installation having 1"" NPT mail thread inlet and 1/2"" NPT female thread outlet. The unit shall be complete with bracket assembly for securely fixing on false ceiling. The product shall be UL Listed and FM Approved.']",Nos.,2165.0,
"[' 1500 MM long
Providing and fixing of following length braided stainless steel (grade AISI 304) flexible tubing suitable for fire sprinkler installation having 1"" NPT mail thread inlet and 1/2"" NPT female thread outlet. The unit shall be complete with bracket assembly for securely fixing on false ceiling. The product shall be UL Listed and FM Approved.']",Nos.,2472.0,
"[' 80 mm dia
Providing and fixing Cast Iron butterfly valve as per IS: 13095 of Class PN 16, having epoxy coated disc, carbon steel shaft, EPDM rubber body liner and of approved make. including a set of MS flanges/ groove ends as required, required nos. of nut & bolts all complete.']",Nos.,6500.0,
"[' 100 mm dia with lever
Providing and fixing Cast Iron butterfly valve as per IS: 13095 of Class PN 16, having epoxy coated disc, carbon steel shaft, EPDM rubber body liner and of approved make. including a set of MS flanges/ groove ends as required, required nos. of nut & bolts all complete.']",Nos.,7820.0,
"[' 150 mm dia with lever
Providing and fixing Cast Iron butterfly valve as per IS: 13095 of Class PN 16, having epoxy coated disc, carbon steel shaft, EPDM rubber body liner and of approved make. including a set of MS flanges/ groove ends as required, required nos. of nut & bolts all complete.']",Nos.,8970.0,
"[' For 100 mm dia sprinkler line
Providing and fixing electric flow switch, capable of sensing a minimum of flow of one sprinkler, including making electrical cable termination.']",Nos.,9775.0,
"[' For 150 mm dia sprinkler line
Providing and fixing electric flow switch, capable of sensing a minimum of flow of one sprinkler, including making electrical cable termination.']",Nos.,11270.0,
"[' 25 mm dia
Providing and fixing of nickel plated brass/ nonferrous alloy fullyway ball valve ( minimum working pressure of 20 bar ) with operating handle of approved make. (Drain Valve)']",Nos.,1552.0,
"[' 40 mm dia.
Providing and fixing of nickel plated brass/ nonferrous alloy fullyway ball valve ( minimum working pressure of 20 bar ) with operating handle of approved make. (Drain Valve)']",Nos.,3165.0,
"[' 80 mm dia pipe 
Shifting of following sizes existing sprinkler pipework as per site requirement  including disconnecting, rejointing of pipes, fittings etc. at required level (as per site Engineer). The cost shall be includes for additional fittings, consumables, MS supports, repainting of pipes and fittings etc., complete in all respect including testing and commissioning.']",Mtr,1017.0,
"[' 65 mm dia 
Shifting of following sizes existing sprinkler pipework as per site requirement  including disconnecting, rejointing of pipes, fittings etc. at required level (as per site Engineer). The cost shall be includes for additional fittings, consumables, MS supports, repainting of pipes and fittings etc., complete in all respect including testing and commissioning. ']",Mtr,891.0,
"[' 50 mm dia pipe 
Shifting of following sizes existing sprinkler pipework as per site requirement  including disconnecting, rejointing of pipes, fittings etc. at required level (as per site Engineer). The cost shall be includes for additional fittings, consumables, MS supports, repainting of pipes and fittings etc., complete in all respect including testing and commissioning.']",Mtr,632.0,
"[' 40 mm dia pipe 
Shifting of following sizes existing sprinkler pipework as per site requirement  including disconnecting, rejointing of pipes, fittings etc. at required level (as per site Engineer). The cost shall be includes for additional fittings, consumables, MS supports, repainting of pipes and fittings etc., complete in all respect including testing and commissioning.']",Mtr,496.0,
"[' 32 mm dia pipe
Shifting of following sizes existing sprinkler pipework as per site requirement  including disconnecting, rejointing of pipes, fittings etc. at required level (as per site Engineer). The cost shall be includes for additional fittings, consumables, MS supports, repainting of pipes and fittings etc., complete in all respect including testing and commissioning.']",Mtr,431.0,
"['25 mm dia pipe
Shifting of following sizes existing sprinkler pipework as per site requirement  including disconnecting, rejointing of pipes, fittings etc. at required level (as per site Engineer). The cost shall be includes for additional fittings, consumables, MS supports, repainting of pipes and fittings etc., complete in all respect including testing and commissioning.']",Mtr,356.0,
"[' 150 mm dia pipe 
Dismantling of following sizes existing sprinkler pipework as per site requirement  including disconnecting, pluging,of pipes, upright/pendent sprinklers, fittings etc. ( as per site Engineer).  complete in all respect including testing and commissioning of exiting pipework.']",Mtr,478.0,
"[' 100 mm dia pipe 
Dismantling of following sizes existing sprinkler pipework as per site requirement  including disconnecting, pluging,of pipes, upright/pendent sprinklers, fittings etc. ( as per site Engineer).  complete in all respect including testing and commissioning of exiting pipework.']",Mtr,288.0,
"[' 80 mm dia pipe 
Dismantling of following sizes existing sprinkler pipework as per site requirement  including disconnecting, pluging,of pipes, upright/pendent sprinklers, fittings etc. ( as per site Engineer).  complete in all respect including testing and commissioning of exiting pipework.']",Mtr,216.0,
"[' 65 mm dia pipe 
.Dismantling of following sizes existing sprinkler pipework as per site requirement  including disconnecting, pluging,of pipes, upright/pendent sprinklers, fittings etc. ( as per site Engineer).  complete in all respect including testing and commissioning of exiting pipework.']",Mtr,185.0,
"[' 50 mm dia pipe 
.Dismantling of following sizes existing sprinkler pipework as per site requirement  including disconnecting, pluging,of pipes, upright/pendent sprinklers, fittings etc. ( as per site Engineer).  complete in all respect including testing and commissioning of exiting pipework.']",Mtr,180.0,
"['  40 mm dia pipe 
Dismantling of following sizes existing sprinkler pipework as per site requirement  including disconnecting, pluging,of pipes, upright/pendent sprinklers, fittings etc. ( as per site Engineer).  complete in all respect including testing and commissioning of exiting pipework.']",Mtr,170.0,
"[' 32 mm dia pipe
Dismantling of following sizes existing sprinkler pipework as per site requirement  including disconnecting, pluging,of pipes, upright/pendent sprinklers, fittings etc. ( as per site Engineer).  complete in all respect including testing and commissioning of exiting pipework.']",Mtr,165.0,
"[' 25 mm dia pipe
Dismantling of following sizes existing sprinkler pipework as per site requirement  including disconnecting, pluging,of pipes, upright/pendent sprinklers, fittings etc. ( as per site Engineer).  complete in all respect including testing and commissioning of exiting pipework.']",Mtr,150.0,
['Fire Fighting work: testing and commissioning. '],Job,45000.0,
"['Supply, installation, connecting, testing and commissioning of addressable photoelectric type Smoke Detectors with mounting base, blinking LED etc. complete as required. Make Honeywell']",Nos.,2127.0,
"['Supply, installation, connecting, testing and commissioning of addressable Type Multi Sensor Smoke Detectors cum heat detector with mounting base etc. complete as required.']",Nos.,1885.0,
"['Supply, installation, connecting, testing and commissioning of addressable rate of rise cum fixed temperature Heat Detectors with mounting base, blinking LED etc. complete as required. Make Honeywell']",Nos.,2587.0,
"['Supply, installation, connecting, testing and commissioning of  Addressable Hooters cum strobe min. 80 db output and 110 candelas complete with modules. The strobes shall be synchronised for better evacuation. Make Honeywell']",Nos.,6325.0,
"['Supply, installation, connecting, testing and commissioning of  Addressable Manual Call Box in ABS plastic  as required complete. Make Honeywell']",Nos.,3795.0,
"['Supply, installation, connecting, testing and commissioning of addressable fault Isolator. Make Honeywell']",Nos.,2645.0,
"['Supply, installation, connecting, testing and commissioning of addressable control module  for  A.C. & Access Control System. Make Honeywell']",Nos.,4025.0,
"['Supply, installation, connecting, testing and commissioning of addressable control module  for Hooter / flow switch']",Nos.,4120.0,
"['Supply, installation, connecting, testing and commissioning of addressable monitor module  for integration purpose']",Nos.,3638.0,
"['Supply, installation, connecting, testing and commissioning of power supply for hooters ']",Nos.,2015.0,
"['Supply, installation, testing and commissioning of Fire Panel: Microprocessor based 1 loop panel, Networkable analog addressable type fire alarm control panel with 640 character LCD display.The panel shall equiped with sufficient no. of loops, each loop shall have capacity of 250 analog devices in each loop four access levels, capable of taking flash scan devices, Flash EPROM sufficient no. of programmable relay controls for controlling AHU's, pressurization fans,ventilation fans at fire pump room, monitoring of fire hydrant and fire sprinkler, 240v AC power supply, automatic battery charger, 24v sealed lead acid battery sufficient for 24hrs normal working and 2hrs during emergency as required according to specification. The panel shall be UL864 9th edition listed with response time less than 10sec. The Panel shall be able to Integrate with BMS & Security System on Common TCP/IP Ethernet Communication Bus using BACnet Transfer protocol. The panel shall have the web enabled facility which can able to send or receive e-mails with memory of 1000 events recording. Note:The vendor shall provide panel UL 9th edition listing certificate (for service building)
Necessary Integration Facility with BMS for following functions']
",Nos.,210450.0,
"['Supply, installation, connecting, testing and commissioning of UL listed addressable Repeater panel.']",Nos.,119250.0,
"['Supply, installation, testing, commissioning of R.I. ']",Nos.,250.0,
['Providing and fixing in position 1.2mm thick M.S. outlet boxes for housing smoke detectors/heat detectors including providieng 3mm thick hylam seat cover as required. '],Nos.,265.0,
"[' 2 core x 1.5 sq. mm 
Supply & laying of following grade with copper conductor armoured FIRE SURVIVAL cable with (EPR) Ethylene Propylene rubber insulation as per  IEC-60502:2004 Part-1 (Armoured), Retain circuit integrity as per BS 6387 C.W.Z (armoured),  BS 8434-2: 2009 (armoured), (Resistance to fire at 950ÃÂ¼ C for 3 hours), as per specifications in cable trays,  clamped including anchor fastners to wall with suitable clamps, saddles fixing bolts,2 cable glands for each detector back box, complete in all respect as required as per specifications.(Red Colour)']",Nos.,265.0,
"[' 20 mm dia conduit (1.6 mm thick)               
Providing and fixing in position the following  MS conduits including all accessories concealed in False ceili_ng/walls/partitions as required incl_uding 5 sided 1.5mm thick M.S. junct_ion boxes and 3mm thick perspex sheet cover plate comp_lete with G.I. pull wires.']",Mtr.,200.0,
"[' 25 mm dia conduit  (1.6 mm thick)              
Providing and fixing in position the following  MS conduits including all accessories concealed in False ceili_ng/walls/partitions as required incl_uding 5 sided 1.5mm thick M.S. junct_ion boxes and 3mm thick perspex sheet cover plate comp_lete with G.I. pull wires.']",Nos.,210.0,
"[' 1.6mm wall thickness 20mm dia         
Providing and fixing in position the following  G.I. flexible  conduits including all accessories ']",Mtr.,165.0,
"['Supply, installation, testing and commissioning of complete ceiling mounted speaker, Complete as required (Bosch LBD 0606) with metal grill. ']",Nos.,1845.0,
"['Supply, installation, testing and commissioning of complete surface mounted speaker, Complete as required  with mounting accessories.  Bosch LBD 0606 with black box.']",Nos.,2250.0,
"['Supply, installation, testing & commissioning of Plena Voice Alarm Controller having features like announcement to  6 Nos   zones expandable to 60 zones, built in 240W booster amplifier, emergency microphone on the front panel, 16 priority levels including emergency, music to selected zones can be played, upto 255 messages can be stored in the internal 16MB flash ROM, individual BGM volume control for each zone, Digital pre-recorded messages can be merged, full system supervision, Complete as required, (Simliar to Bosch Cat. No. LBB 1990/00 or equivalent).']",Nos.,347500.0,
"['Supply, installation, testing & commissioning of Plena Voice Alarm Call Station having gooseneck condenser microphone with 6 zone Selection Keys and an All-Call-Key, PTT Switch, selectable gain, speech filter and limiter for improved intelligibility, LED indication for zone selection, fault and emergncy state, Complete as required  (Simliar to Bosch Cat. No. LBB 19556 or equivalent)']",Nos.,45840.0,
['Philips Microphone unit Cat no LBD 8292'],Nos.,8250.0,
"['Supply, installation, testing & commissioning of 24 U equipment rack made out of CRCA sheet to house all the control equipment. Complete as required.']",Nos.,13650.0,
"['Supply, installation, testing & commissioning of suitable size equipment rack made out of CRCA sheet to house all the control equipment. Complete as required.']",Nos.,13650.0,
['Main Termination Box'],Nos.,3750.0,
['Wiring with 2 core 24/.2 mm PVC insulated twisted copper conductor wires in existing conduit/ trunking as required.'],Rmt,195.0,
"['Supply, installation, testing and commissioning of Cat 6 Cable.']",Rmt,115.0,
"['Access Control System Software shall be as per specifications and must be able to work with the 26 bit format- Honeywell make.
* Server Software License - shall include Server software  System Administration for operating all over the country at different locations , PC anywhere Host license, Access Control Driver, Alarm Monitoring,  MapDesigner, and shall support over 1000 card access readers  ( Software Only ) and PC with operating system with Backend Database ``Access or SQL or Oracle''. PC shall be provided by customer.']",nos,95000.0,
"['2 Reader door controller including power supplyof each, 2A and 5A) Honeywell pro 3000 make']",nos,30625.0,
['HID make iClass Smart card reader R 10  '],nos,12350.0,
['Standard Thickness  iClass Smart card complete as per specification. '],nos,380.0,
['Single Electromagnetic Locks - 600 lbs as per specifications'],nos,3550.0,
['Double Electromagnetic Locks - 2 x 600 lbs as per specifications'],nos,4750.0,
['Magnetic Door Contacts'],nos,1820.0,
['Emergency Break Glass interlocking with lock'],nos,1450.0,
['Exit push button-Stainless steel button made of aluminium alloy 75 x 75 x 5mm size.'],nos,850.0,
['Panic Bar with Local Audio Alarm(80 dB) powered by 230 volts. It shall include all wiring and conduiting.'],nos,9500.0,
"['Piezo Buzzer audio alarm in case exit door remains open, complete with all accessories.']",nos,550.0,
"['SITC of Armoured Multistranded Copper Conductor, 8 Core x 0.75 mm2 Screened Shielded Cable with drain Wire']",Mtr,275.0,
"['SITC of Armoured Multistranded Copper Conductor, 4 Core x 0.75 mm2 Screened Shielded Cable with drain Wire']",Mtr,215.0,
['Designer items: which will be selected during the process of designing and execution-a rough estimate'],Ls,1.0,
"['Supply & Installation Water leak detection control panel of 4 zone with 4 nos module type consisting with features like, Auxiliary alarm contacts,Monitored alarm outputs,Open circuit line monitoring, Bright LED's for indication. The panel shall work on 230v AC. Sensing technology shall be AC. The panel shall have accept / reset / Iosolate/Mute buttons and it shall be wall mounted type.']",No's,63250.0,
"['Water leak sensing cable twisted, mechanically strong, resistant to corrosion and abrasion. The cable shall be constructed with two sensing wires,an alarm signaling wire and an continuity wire and all shall be in a fluoropolymer carrier ( OR equi. material).The cable shall have end circuit to detect open circuit fault.The cable shall be rugged in construction, no metal exposes, enables it to be reusable even in corrosive environment.( Length 5 M/ 10 M 15 M 20 M)']",Mtr.,6670.0,
"['Supply, installation, connecting, testing and commissioning of Hooter']",No's,5157.0,
['2C x 1.5 Sqmm Copper Armoured Cable Supply and Laying Charges per running meter'],Mtr.,195.0,
"['Supply, Installation, Testing and Commissioning of URRS (Ultrasonic Rat/Rodent Repellent System) Master Panel consisting of 10 channel transducer output. The panel shall have display and keypad for setup, separate menu for ""test transducer"". The panel shall be wall mountable.
 Make Maser VHFOV2']",No's,64900.0,
"['Supply, Installation, Testing and Commissioning of Transducers with bracket support']",No's,10140.0,
"['Supply and laying of 2 core flexible 14/40 SWG, specially coated CT cable.']",Mtr.,649.0,
['Supply and surface laying of 20 mm dia MS Conduit'],Mtr.,165.0,
['Designing consultancy charges'],Sq.ft,165.0,
['Deep Cleaning'],Sq.ft,15.0,
['80 mm - Providing and making Core cutting in slab/ walls with necessary machines and manpower and providing Sleeves as per necessary dia as per Engineers Instruction followed by Pressure Grouting & Waterproofing to make the sleeve water tight with approved application with Minimum 10 Years Warranty.'],Nos,2200.0,
['100 mm - Providing and making Core cutting in slab/ walls with necessary machines and manpower and providing Sleeves as per necessary dia as per Engineers Instruction followed by Pressure Grouting & Waterproofing to make the sleeve water tight with approved application with Minimum 10 Years Warranty.'],Nos,2600.0,
['150 mm -Provide and perform Core cutting in slab/ walls with necessary machines and manpower and providing Sleeves as per necessary dia as per Engineers Instruction followed by Pressure Grouting & Waterproofing to make the sleeve water tight with approved application with Minimum 10 Years Warranty.'],Nos,3100.0,
['200 mm - Provide and perform Core cutting in slab/ walls with necessary machines and manpower and providing Sleeves as per necessary dia as per Engineers Instruction followed by Pressure Grouting & Waterproofing to make the sleeve water tight with approved application with Minimum 10 Years Warranty.'],Nos,3900.0,
['300 mm - Provide and perform Core cutting in slab/ walls with necessary machines and manpower and providing Sleeves as per necessary dia as per Engineers Instruction followed by Pressure Grouting & Waterproofing to make the sleeve water tight with approved application with Minimum 10 Years Warranty.'],Nos,5500.0,
"['All surfaces shall be cleaned to remove dirt, dust, laitance, loose mortar, and particles. Core holes, channel gratings, marked points, and construction joints will be pressure grouted using non-shrink expansive grout (Intraplast EP) mixed with cement and sealed with Sika Hydroplug/Sika 4A. A 25x25 mm coving will be formed at floor-wall junctions using a 1:3 cement-sand mix with Sika Raintite I. The cleaned surface will be primed with one coat of Sikalastic 450 I primer, followed by two coats of Sikalastic 450 I polyurethane coating as per Sika specifications. The system will be protected with 20 mm thick cement mortar plaster mixed with Sikacim @100g per bag, maintaining proper slope. A 10-year waterproofing guarantee shall be provided by the contractor, supplier, and applicator.']",Sqm,850.0,
"['1200 x 200 mm Matt Wooden Tile Install 11mm thick heavy-duty vitrified floor tiles (design/pattern as approved) over floor screed with 2mm spacer using approved waterproof adhesive and glue (Weber/Equivalent). Joints to be filled with epoxy grout matching tile color. Provide crack control joints with rubber gaskets every 3m x 3m. Client will supply tiles only; contractor to provide all other fixing accessories. Entire floor to be protected using 2 layers of 1000 gauge polythene and gypsum powder, to be removed as per engineer s instructions. No extra payment for protection, removal, or debris disposal; all costs to be included in the rate.']",Sqm,1480.0,
"['Surface Preparation, Supply & Apply of Ceiling spray paint 1 Coat enamel Primer, 2 Coat enemel paint (RAL code) or as per approved Code & as per Engineers Instruction and Specification followed by sample Approval on Roof including centering, scaffolding, cleaning, curing, all leads and lifts at all levales and removing stains when and where required to get final finish as per satisfaction .( Including MEP services like Pipe, ducts, hvac units etc)']",Sqm,290.0,
['Install 100mm Tile Skirting with 2 mm spacer with all necessary Adhessive forllowed by Grouting & Pointing with Epoxy Grout as per Approval from concerned engineer'],Rmt,275.0,
['Supply & Installation of 3mm Thick SS Brush Finish Transition Strip with necessary floor cutting and groove making including all necessary materials and manpower including lead and all charges as per approval from concerned engineer'],Rmt,425.0,
"['Providing, Supply & Installation of SS 304 grade Skirting (Matt finish) upto 75mm from FFL with necessary Glue/Adhessive, Screws etc.. With necessary leads and lifts to complete the works including bending & cutting 45 angle at corners to make the cladding perfact and precise as per engineers Instruction ']",Rmt,420.0,
"['Providing and fixing in position full height framing for partition/ paneling with Aluminium frame work of 50x25x1.2mm screwed to the floor and MS section firmly to receive any type of skin on top of it for Gypsum partition inside Office with all necessary fittings, accessories and including all leads and lifts.']",Sqm,1550.0,
"['Same as above but with glasswool/ rockwool infill by covering with tissue paper upto 3200mm, 200mm above False ceiling']",Sqm,295.0,
"['Same as above but with 12mm thk commercial ply upto 3200mm, 200mm above false ceiling']",Sqm,1150.0,
['Same as above but with 12.5mm gypsum board finished with Joiint Tapping & Putty with proper Grinding to receive paint upto 150mm above falseceiling'],Sqm,485.0,
"['Structural MS frame for store front, Ice Machine Platform, Extract Units, all necessary Platforms etc with section of 100x50mmx4mm Rectangulat Section, 150 I-section, 50x50mmx4mm, 50x25x4mmmm sections (mode of measurment of the materials received at site Minus Scraps and wastage should be considered in unit rate and will not be paid additionally)']",Ton,122000.0,
['Providing & fixing 600mmx 600mm mineral fibre tile ceiling as per architectural pattern . Fixing height +3000 from FFL. '],Sqm,1515.0,
"['General gypsum partition, Bulk head & Cladding, Providing and fixing 12.5mm thk. Gypsum board bulk head at vertical surface levels as shown in the drg. From ffl. Rate shall be inclusive of providing and fixing 18 gauge g.i. frame work of standard India gypsum sections at the distance of 600 x 600mm c/c. (max) both ways. Rate shall be inclusive of any spot, tube light, a. C. Grills, fire and security systems cut outs, manufacturers guidelines to be followed strictly.(Contractor should award the Partition/Bulkhead/Ceiling to get proper finish and to maintain proper levels with Joint Tapping, finish with Joint Putty works to receive direct paint on the surface as per sample approval and to avoid formation of cracks on the corners and joints)']",Sqm,1350.0,
['Supply & Installation of 600 x 600mm Gypsum Trap doors with Lock & Key with necessary Supports including all accessories and supports as per Instruction from concerned engineer. Contractor should do necessary cutting of the Gypsum Board and channels and then provide additional channels for strengthening the Area and chanells as per Instruction from concerned engineer'],Nos,3750.0,
"['Supply & Installation of 12mm Plywood Trap doors with necessary Supports including all accessories and supports as per Instruction from concerned engineer. Contractor should do necessary cutting of the Plywood and channels and then provide additional channels for strengthening the Area and chanels as per Instruction from concerned engineer ( Avg size 500*500600*600,800*800)']",Nos,4650.0,
"['Providing, Supply & fixing of Aluminium battens (Egger Oak Wood Color powder coated) of 25 x 25mm section fixed to the vertical section bulkhead and columns at a spacing of 25mm with all necessary accessories and supports with all leads & lifts as per the Layout, Approved sample and Instruction from concerned engineer']",Sqm,575.0,
"['D2 - 1000X2100 mm -Providing, Supply and fixing 32mm solid core flush door finished with lippings on all side and necessary door hinges, cylinderical locks (Godrej) or equivalent make) approved door Handle, tower bolts, etc with a frame work of Honne wood size 125mm x 65mm with necessary hold fast fixed to the wall/ partition. 1mm approved laminate to be fixed on both sides duly finished. A wooden moulding size 1 1/2"" X 1/4"" (half round) to be provided all along the periphery of the frame work on both sides. All wooden area to be painted as per specification. All doors should be provided with PVC door bush, Door Closure, Door Stopper, Vision panels etc.. as per Approved door Schedule and as per standards & fire Norms.']",Nos,28500.0,
"['D2 - 900X2100 mm -Providing, Supply and fixing 32mm solid core flush door finished with lippings on all side and necessary door hinges, cylinderical locks (Godrej) or equivalent make) approved door Handle, tower bolts, etc with a frame work of Honne wood size 125mm x 65mm with necessary hold fast fixed to the wall/ partition. 1mm approved laminate to be fixed on both sides duly finished. A wooden moulding size 1 1/2"" X 1/4"" (half round) to be provided all along the periphery of the frame work on both sides. All wooden area to be painted as per specification. All doors should be provided with PVC door bush, Door Closure, Door Stopper, Vision panels etc.. as per Approved door Schedule and as per standards & fire Norms.']",Nos,27500.0,
"['Providing Supply & fixing of Aluminium window of Height 900mm with 25 x 25 Frame size with 8mm thick glass on top , complete with all the necessary hardwares/ Iron mongeries with all leads and lifts etc.. And closing the gaps with seltants and finishing the same as per satisfaction of Engineer. Contractor to take site measurements and have to make the windows to avoid issues during Installation']",Sqm,7250.0,
"['Providing Supply & fixing of Aluminium windows of Height 900mm with 25mm x 25mm Matt finish Frame(Ral color to match with the Tile color) size with 10mm thick glass on top , complete with all the necessary hardwares/ Iron mongeries with all leads and lifts etc.. And closing the gaps with seltants and finishing the same as per satisfaction of Engineer. Contractor to take site measurements and have to make the windows to avoid issues during Installation']",Sqm,7250.0,
"['Providing, Supply and fixing fire proof doors of Shaktimet/Radient or equivalent make open-able hinged with M.S. frame construction and Ms Plate flush door shutters with necessary insulation inside. With all necessary accessories like hold fasts hinges fuse-sets including two coats of synthetic enamel paint. The entire installation shall have 2 hours resistance to fire the contractor shall obtain necessary Test certificate adequate for approval by TAC/statutory authorities (locks and other accessories can be Godrej make ']",Sqm,7250.0,
"['1000x2200 -Providing, Supplying and fixing 12mm glass door with hard ware , door closer, handle , lock ,etc ']",Nos,28250.0,
['SS corner tile protection for Front wall Dado; Supply & Installation of Dado Corner Protection with 1.5mm Thick Curved SS 304 corner Guard with all necessary SS screws and Glue as per Engineers Instruction and site conditions with necessary curve so as to receive 7mm Dado Tiles Directly on top of the same to receive straight surface line'],Rmt,450.0,
['SS corner wall protection in service area: Supply & Install SS 304 grade corner Guard (75mmx75mm 1.5mm thickness ) on the Service Area on all corners above Paionted Surface to act as a corner Protection upto 3000mm ht as per engineers Instruction and Sample Approval'],Rmt,385.0,
['Supply and fixing Aluminium corner guard 25*25*1.2mm thickness'],Rmt,220.0,
"['TROLLEY GUARD(Round Type) (150mm /200mm height): Supply & Install Stainless Steel(SS 304) guard railing for the trolley guard consisting of 32.mm dia pipe to be fix as top rail with 25.mm dia vertical pipe fix in to the floor by (Forsroc lock tite grout) or by bolting the base plate(flange) onto the slab after core cutting it to the required dia of the flange (Tile work will be done by client), with the connection of tee, elbow, circle plates with top cover, the guard rail finish will be matt polished with 16 Guage steel. (Measured in Running length- End to end Only. No bend and vertical supports are measured Seperately).(Contractor should fix the Trolley Guard based on the Actual Height Requirement to lock the Wheel from hitting)']",Rmt,825.0,
"[' TROLLEY GUARD(Square Type) (150mm /200mm height): Supply & Install Stainless Steel(SS 304) guard railing for the trolley guard consisting of 50x50.mm sq pipe to be fix as top rail with 50x50mm sq vertical pipe fix in to the floor by (Forsroc lock tite grout) or by bolting the base plate(flange) onto the slab after core cutting it to the required dia of the flange (Tile work will be done by client), with the connection of tee, elbow, circle plates with top cover, the guard rail finish will be matt polished with 16 Guage steel. (Measured in Running length- End to end Only. No bend and vertical supports are measured Seperately).(Contractor should fix the Trolley Guard based on the Actual Height Requirement to lock the Wheel from hitting)']",Rmt,960.0,
"[' TROLLEY GUARD(Round Type)(Security Antenna) (150mm /200mm height): Supply & Install Stainless Steel(SS 304) guard railing for the trolley guard consisting of 25.mm dia pipe to be fix as top rail with 25.mm dia vertical pipe in 2 Levels fix in to the floor by (Forsroc lock tite grout) or by bolting the base plate(flange) onto the slab after core cutting it to the required dia of the flange (Tile work will be done by client), with the connection of tee, elbow, circle plates with top cover, the guard rail finish will be matt polished with 16 Guage steel. (Measured in Running length- End to end Only. No bend and vertical supports are measured Seperately).(Contractor should fix the Trolley Guard based on the Actual Height Requirement to lock the Wheel from hitting)']",Rmt,920.0,
"[' TROLLEY BAY(Round Type) (150mm /200mm height): Supply & Install Stainless Steel(SS 304) guard railing for the trolley guard consisting of 50.mm dia pipe to be fix as top rail with 50.mm dia vertical pipe in 2 Levels fix in to the floor by (Forsroc lock tite grout) or by bolting the base plate(flange) onto the slab after core cutting it to the required dia of the flange (Tile work will be done by client), with the connection of tee, elbow, circle plates with top cover, the guard rail finish will be matt polished with 16 Guage steel. (Measured in Running length- End to end Only. No bend and vertical supports are measured Seperately).(Contractor should fix the Trolley Guard based on the Actual Height Requirement to lock the Wheel from hitting)']",Rmt,1550.0,
"[' ENTRANCE GATE FIXING(Round Type) (300mm dia): Install Stainless Steel(SS 304) Entrance gate with allnecessary accessories (Tile work will be done by client), with the connection of tee, elbow, circle plates with top cover, the guard rail finish will be matt polished with 16 Guage steel. (Measured in Running length- End to end Only. No bend and vertical supports are measured Seperately).']",Set,1050.0,
"['Hanging Hook - Lamb Preparation Room (Round Type): Supply & Install Stainless Steel(SS 304) guard railing for the lamb hanging hook consisting of 50.mm dia pipe to be fix as wall with 50.mm dia vertical / slope pipe in 1 Levels fix in to the wall by (Forsroc lock tite grout) or by bolting the base plate(flange) onto the slab after core cutting it to the required dia of the flange (Tile work will be done by client), with the connection of tee, elbow, circle plates with top cover, the guard rail finish will be matt polished with 2mm thick steel. (Measured in Running length- End to end Only. No bend and vertical supports are measured Seperately).']",Rmt,1350.0,
"['Hanging Hook - Fish weighing scale (Round Type) : Supply & Install Stainless Steel(SS 304) guard railing for the lamb hanging hook consisting of 45.mm dia pipe to be fix as wall with 45.mm dia vertical / slope pipe in 1 Levels fix in to the wall by (Forsroc lock tite grout) or by bolting the base plate(flange) onto the slab after core cutting it to the required dia of the flange (Tile work will be done by client), with the connection of tee, elbow, circle plates with top cover, the guard rail finish will be matt polished with 3mm thickness steel. (Measured in Running length- End to end Only. No bend and vertical supports are measured Seperately).']",Rmt,1550.0,
"['Providing and laying 65mm thick Screed concrete in 1:1(1/2):3 with 10mm and down graded stone aggregates wherever to required thickness to Acheive 30MPa Strength equivalant to Industial Aplication suitable for Heavy Traffic Flow, slope and trowel finished smooth as directed including leveling, compacting, all leads and lifts with necessary curing and shuttering etc. complete at all levels to get Tile Finish as per Instruction from concerned Engineer.']",Sqm,580.0,
['Providing and Laying Monobond Monolithic Bonding agent between the screed and slab for getting proper bonding between the old & new surfaces as per Engineers Instruction and Industrial Standards'],Sqm,150.0,
"['Providing, Supply & Laying VDF with M25 Grade for an average thickness of 65mm from FFL with Surface Preparation, Laying of Reinforcement, Concreting, Dewatering of concrete, Surface Finishing, Curing and Protection as per industrial Standards and as per engineers Instruction. ( Rates including reinforcements.)']",Sqm,985.0,
"['Surface Preparation, Grinding & Surface Treatment, Supply & Installation of 6mm Thick Heavy Duty PU Flooring with necessary self levelling compounds as per Supplier Reccomendation and to get excellent finish with proper Slope towards the Channel Gratings and providing 50mm coving on to the walls to make the room complete water tight with 10 Years Applicator warranty along with product Warranty']",Sqm,650.0,
"['Supply & fixing of 20mm Thick Black Galaxy Granite with all necessary Edge bending and nosing with all necessary accessories, supports and with lead and lifts as per Engineers Instruction and Approval']",Sqm,4450.0,
